aspect,opinion,count
timing,comic,2
reason,good,2
films,other,2
disaster,absolute,2
territory,familiar,2
performances,good,2
ways,mysterious,2
line,bottom,2
age,golden,2
pleasures,small,2
cast,likable,2
drama,compelling,2
appeal,main,2
b-boy,planet,2
transformers,last,2
playlist,infinite,2
instinct,basic,2
thing,important,2
chill,big,2
way,new,2
movie,actual,2
ups,grown,2
character,lead,2
samurai,last,2
fare,standard,2
time,entire,2
cast,solid,2
actress,accomplished,2
attempts,many,2
americans,native,2
joy,pure,2
house,white,2
film,original,2
kind,best,2
part,second,2
helgeland,brian,2
filme,um,2
love,homosexual,2
satire,political,2
story,real,2
film,sci-fi,2
love,true,2
director,[,2
story,interesting,2
movies,good,2
cage,nicolas,2
kids,spy,2
comedy,best,2
meat,much,2
works,other,2
truth,sad,2
story,hokey,2
performances,stellar,2
impact,emotional,2
horror,serious,2
movies,worst,2
laughs,unintentional,2
turn,dramatic,2
people,most,2
meaning,new,2
book,black,2
target,easy,2
mercury,freddie,2
eye,red,2
viewing,essential,2
family,entire,2
washington,denzel,2
saw,favorite,2
night,saturday,2
hollywood,old,2
minutes,few,2
taste,good,2
audience,contemporary,2
character,iconic,2
valentine,blue,2
bird,lady,2
gothic,southern,2
place,better,2
chuckles,few,2
deal,good,2
surprises,pleasant,2
ideas,big,2
story,origin,2
team,creative,2
sell,hard,2
herrings,red,2
time,decent,2
melodrama,sappy,2
movie,mediocre,2
actors,wonderful,2
idea,great,2
efforts,best,2
pleasure,singular,2
film,third,2
treasure,national,2
premise,intriguing,2
look,fascinating,2
city,big,2
bag,mixed,2
war,modern,2
films,insidious,2
words,own,2
hours,half,2
drama,intense,2
truth,ugly,2
war,civil,2
career,long,2
blonde,atomic,2
stuff,good,2
thriller,detective,2
joke,single,2
treatment,superficial,2
measure,equal,2
action,bloody,2
gems,uncut,2
man,old,2
film,feature-length,2
escape,great,2
island,skull,2
picture,complete,2
film,silly,2
version,new,2
filmmaking,sloppy,2
movies,bad,2
movies,best,2
movies,original,2
moments,funny,2
direction,new,2
documentary,inspirational,2
movies,worse,2
johnson,rian,2
film,interesting,2
movies,animated,2
tale,fairy,2
line,thin,2
director,first-time,2
fate,dark,2
filmmaker,better,1
wizard,actual,1
situation,perilous,1
outcome,casualty-free,1
jr.,sunlight,1
flagellation,cinematic,1
profundity,expected,1
talk,much,1
sensation,enough,1
examination,character-driven,1
surprises,narrative,1
template,narrative,1
bedfellows,unlikely,1
rhetoric,anti-gay,1
policies,public,1
script,comic,1
glow,warm,1
picture,irish,1
shamrock,clichd,1
writing,fine,1
story,unfulfilling,1
entertainment,adrenaline-pumping,1
men,repo,1
foster,jodie,1
interplay,delicious,1
cunning,strategic,1
plausibility,watertight,1
question,important,1
murders,enough,1
murders,more,1
seasons,several,1
martin,three-hour,1
epic,scorsese,1
achievement,audacious,1
seal,real,1
thriller,superior,1
examples,best,1
comedy,irish,1
surprise,freshest,1
thriller,unthrilling,1
wilson,owen,1
naysayers,such,1
center,soft,1
hand,little,1
family,solid,1
period,corset,1
creation,masterful,1
animation,pixar,1
position,precarious,1
ginsburg,real,1
effort,manipulative,1
lick,sloppy,1
needs,universe,1
kinds,certain,1
directing,impressive,1
market,foreign,1
doldrums,theatrical,1
point,overarching,1
strategies,dramatic,1
cable,late-night,1
pulp,haunting,1
tics,flashy,1
messages,mixed,1
movie,mean-spirited,1
theme,christian,1
naturalism,purported,1
way,rich,1
women,heroic,1
action-comedy,unpredictable,1
opposite,tonal,1
sculptures,overwrought,1
storytelling,cinematic,1
narration,musical,1
pain,realistic,1
joker,still-maddening,1
need,personal,1
filmmaker,serious,1
insight,riveting,1
giggles,self-deprecating,1
rap,bad,1
ice,future,1
cd,cube-inspired,1
movies,funnier,1
effort,sunniest,1
aphrodite,mighty,1
screenplay,unfocused,1
moments,contrived,1
aria,tragic-comic,1
body,glass-riddled,1
eyes,wild,1
commentary,cocial,1
examination,messy,1
drop,single,1
features,narrative,1
motion,wasted,1
films,natm,1
failure,international,1
negligence,corporate,1
band,big,1
meryl,exceptional,1
humanity,more,1
comedy,r-rated,1
factor,germany,1
possibilities,nudist,1
parts,r-rated,1
adrenaline,massive,1
action,non-stop,1
novel,lengthy,1
creature,ovidian,1
gospel,biblical,1
speech,big,1
washington,digestible,1
opportunities,many,1
accents,scottish,1
marriage,forced,1
wit,english,1
overkill,broad,1
sketch,snl,1
movie,feel-good,1
movie,feel-right,1
grin,rotted-tooth,1
value,good,1
school,sunday,1
cop,miserable,1
predilection,typical,1
cast,phenomenal,1
writing,sweet,1
appreciation,beautiful,1
culture,indian,1
point,main,1
experiment,interesting,1
comedy,straightforward,1
multiculturalist,neoliberal,1
movie,entertaining,1
in-the-pants,kick-you-,1
poet,romantic,1
success,limited,1
adventure,good,1
part,meta,1
leads,attractive,1
klein,chris,1
day,big-screen,1
thriller,b-movie,1
film,unfussy,1
girl,little,1
fan,casual,1
knockout,technical,1
excruciating,borderline,1
studio,[,1
charisma,outsized,1
honesty,raw,1
direction,adroit,1
day,kayla,1
fanning,undiscovered,1
performance,observant,1
access,instant,1
moments,great,1
bunny,ted,1
something,fanged,1
meth,crystal,1
realm,book-movie,1
echelon,upper,1
macfarlane,seth,1
spots,sweet,1
light,much,1
level,b-movie,1
trimmings,fancy,1
film,satisfying,1
possessiveness,alleged,1
prodding,inquisitive,1
apology,collective,1
thriller,rare,1
drama,serious,1
material,rich,1
magic,own,1
zing,back-and-forth,1
tv,ordinary,1
surprises,of-your-seat,1
supervillain,huge,1
insanity,absurd,1
chan,jackie,1
cid,el,1
narrative-wise,interesting,1
rate,second,1
trajectory,affable,1
guffaws,enough,1
visuals,flattest,1
thrills,theme-park-ride-esque,1
mystery,half-infuriating,1
lee,benson,1
caveats,few,1
hours,solid,1
way,horrendous,1
works,collected,1
survivors,earlier,1
existence,entire,1
consideration,morose,1
recovery,steady,1
tale,dull,1
adults,most,1
viewers,young,1
documentaries,political,1
form,perverse,1
deadpan,impeccable,1
image,tough-guy,1
parroting,wooden,1
comedy,boring,1
lies,few,1
love,obvious,1
viewers,distract,1
franchise,bourne,1
audacity,freaky-deaky,1
concern,grandiose,1
elegance,formal,1
mash,historic,1
director,veteran,1
comedy,all-ages,1
skull,crystal,1
moments,indy,1
place,visceral,1
enjoyment,solid,1
foster,jodi,1
overview,nice,1
jonathan,comedian,1
week-end,le,1
film,misanthropic,1
romance,sensitive,1
placards,bloodied,1
exercise,unconventional,1
story,joyous,1
earnestness,sweet,1
belief,productive,1
settings,artificial,1
violence,graphic,1
tension,super-charged,1
thing,counter-cultural,1
gay,conflicted,1
identity,religious,1
fame,unimproved,1
team,swat,1
resonates,little,1
ideas,simple,1
potential,full,1
scare,efficient,1
moves,self-defense,1
ryan,private,1
range,open,1
inevitability,treacly,1
wad,crumpled,1
notes,post-it,1
business,funny,1
adaptation,pedestrian,1
wolitzer,meg,1
lies,white,1
director,english,1
adaptation,vivid,1
pride,much-filmed,1
reminder,eloquent,1
talk,pompous,1
frontier,digital,1
manner,easy-going,1
energy,needed,1
bounce,big,1
story,original,1
integrity,much,1
performances,wonderful,1
irresponsibility,utter,1
story,bizarre,1
gimmicks,visual,1
melange,frustrating,1
storm,red,1
locations,more,1
nudity,ubiquitous,1
summer,worst,1
meryl,[,1
streep,],1
woman,lone,1
men,grim,1
nutso,flat-out,1
poop,many,1
films,lgbt,1
holiday,off-the-wall,1
seethes,day-lewis,1
leer,empty,1
humor,quiet,1
biting,usual,1
unfolds,blackfish,1
thriller,documentary,1
homicides,gruesome,1
pundit,guaranteed,1
son,automatous,1
wife,callous,1
questions,difficult,1
homage,clear,1
actors,extraordinary,1
performances,extraordinary,1
examination,impressive,1
fears,distaff,1
ferocity,underestimated,1
lack,complete,1
presentation,lifeless,1
foundation,unstable,1
sequel,inevitable,1
movies,potter,1
drugs,other,1
trailer,first,1
comedy,viagra,1
non-movie,bad,1
fans,pre-existing,1
morning,saturday,1
disney,animated-classic,1
steps,basic,1
side,other,1
stable,industrial-sized,1
shades,best,1
adaptation,poor,1
novel,interesting,1
piffle,97-minute,1
half-hour,full,1
one,longest,1
props,major,1
sisterhood,senior,1
girl,12-year-old,1
claim,commonly-heard,1
production,big,1
timing,good,1
work,forward-thinking,1
version,verhoeven,1
gem,unexpected,1
sentiment,corny,1
hahn,rubber-faced,1
actress,comic,1
twitter,monotonic,1
missy,wrong,1
taste,comedic,1
story,wobbly,1
benmayor,daniel,1
surfaces,dynamic,1
film,wild,1
dish,satellite,1
date,good,1
subjects,self-aware,1
jack,fey,1
da,bad,1
l.,samuel,1
di,shmuck,1
connections,human,1
drummer,ex,1
tale,bizarre,1
hours,several,1
writing,observant,1
entertainment,real,1
savage,fred,1
laughs,big,1
star,little,1
presence,big,1
lesson,important,1
dab,little,1
lacks,little,1
feeling,palpable,1
performance,vulnerable,1
reserves,fresh,1
movie,clich-filled,1
production,low,1
music,gospel,1
remakes,sloppy,1
job,italian,1
horrors,personal,1
feat,tricky,1
tone,right,1
comedy,broad-strokes,1
trail,appalachian,1
movie,private,1
time,old,1
set-piece,explosive,1
butt,massive,1
morals,twisted,1
location,pretty,1
clash,heavyweight,1
bonkers,intriguingly,1
exercise,flat,1
torment,existential,1
murder,parochial,1
punch,whiz-bang,1
bedroom,sparkling,1
farce,fizz-free,1
dialogue,fantastic,1
strengths,greatest,1
result,final,1
efforts,recent,1
action,wild,1
dialogue,weak,1
pacing,poor,1
performance,half-hearted,1
film,total,1
ranks,hallowed,1
take,feel-good,1
allegory,political,1
weeper,disease-of-the-week-type,1
references,cultural,1
fantasy,sci-fi,1
action,chaotic,1
motion-capture,creepy,1
retread,flat,1
plots,half-hour,1
warmover,lackluster,1
blockbuster,first,1
film,beautiful,1
indie,stylized,1
fun,b-movie,1
talent,a-list,1
flag,freak,1
film,rabble-rousing,1
level,new,1
cop,white,1
officer,black,1
hunger,real,1
nourishment,character,1
context,homoerotic,1
travolta,regular,1
comedy,slight,1
furley,mr.,1
beagle,regal,1
concept,exceptional,1
execution,questionable,1
lights,red,1
failure,fascinating,1
homages,visual,1
room,wiggle,1
testament,old,1
piece,largest,1
parchment,digital,1
land,promised,1
eyes,old,1
vampire,cinematic,1
teenagers,lovestruck,1
saga,outlaw-on-the-run,1
protagonist,hirsute,1
steals,brazenly,1
gun,top,1
director,female,1
writer,female,1
movie,slow-burn,1
agencies,super-government,1
immunity,heedless,1
frontier,triple,1
work,nuanced,1
affleck,ben,1
failure,huge,1
show,terrific,1
talent,gigantic,1
carrey,jim,1
anticipation,nervy,1
times,tough,1
hodgepodge,strange,1
mid-section,off-putting,1
device,move-the-story-along,1
cover-version,dodgy,1
ride,energetic,1
results,effective,1
kazemy,gorgeous,1
beauty,somber,1
focus,quiet,1
revelation,major,1
animation,american,1
specificity,historical,1
opening,expansive,1
trappings,archetypal,1
begin,narrative,1
actors,professional,1
step,false,1
accent,elusive,1
mannerisms,tricky,1
pulp,combat-heavy,1
entry,over-the-top,1
dogs,samurai,1
reference,tarkovsky,1
movie,high-concept,1
thriller,apocalyptic,1
room,windowless,1
horror,familiar,1
flashes,smart,1
performers,young,1
people,real,1
prefab,usual,1
fish,bigger,1
bauble,empty,1
language,naughty,1
despise,utterly,1
thriller,passable,1
noir,nautical,1
calm,dead,1
holiday,healing,1
stimulating,most,1
glimpse,keen,1
flaws,few,1
days,dark,1
hook,solid,1
tries,cbgb,1
topic,gritty,1
trip,innocent,1
time,pivotal,1
path,powerful,1
direction,flat,1
dialogue,dreadful,1
performances,chemistry-free,1
sparks,nicholas,1
wizard,wonderful,1
attention,thoughtful,1
completeness,satisfying,1
version,fictional,1
ron,l.,1
movie,140-minute,1
comedy,ensemble,1
takedown,spot-on,1
cliches,rom-com,1
movies,funniest,1
attempt,despicable,1
circumstances,similar,1
release,theatrical,1
thud,resounding,1
message,touchy-feely,1
war,freewheeling,1
premise,crazy-but-believable,1
characters,outrageous,1
film,average,1
story,clever,1
riding,red,1
direction,stunning,1
meirelles,fernando,1
performances,dynamic,1
examination,humorous,1
world,modern,1
caine,michael,1
experiment,social,1
endurance,bodily,1
adventure,rugged,1
let,detached-he,1
pape,le,1
work,tough,1
hammy,much,1
stretch,ghoulish,1
territory,allen,1
icon,white,1
projects,previous,1
john,durable,1
exercise,criminal,1
characters,cartoonish,1
depiction,grungy,1
description,apt,1
haven,safe,1
leap,bigger,1
moviegoing,incredible,1
flare-ups,contrived,1
slasher,terrible,1
way,smartest,1
showcase,stronger,1
actresses,lead,1
film,sweet,1
comedy,dumb,1
folks,smart,1
tone,wobbly,1
thinkers,bottom-line,1
tries,horror-comedy,1
ambition,weighty,1
work,small-scale,1
intimacy,relaxed,1
humor,unforced,1
feel,warm,1
privacy,online,1
age,social-media,1
genre,predictable,1
mixture,eerie,1
melodrama,gothic,1
serial,feuillade-style,1
jolt,post-apocalyptic,1
ties,welcome,1
lack,wholesale,1
kids,sci-fi,1
method,particular,1
eye-candy,diabolic,1
heart,crazy,1
film,foreign-language,1
story,father-daughter,1
thriller,economical,1
marketplace,indie,1
drama,australian,1
silences,meaningful,1
winner,grand-prize,1
structure,narrative,1
fuzz,hot,1
confection,unhealthy,1
proves,darkly,1
blankness,passive,1
line,leaden,1
blur,vague,1
sports,innocuous,1
squad,successful,1
writer,effective,1
well,subject,1
jerk,common,1
soundtrack,alt-rock,1
releases,ludicrous,1
gags,best,1
celebration,glorious,1
excess,moronic,1
sense,zany,1
delight,twisted,1
unwell,speaks,1
story,vivid,1
take,late,1
genre,western,1
metal,heavy,1
civil-rights,former,1
tendencies,autistic,1
wardrobe,poor,1
car,great,1
story,special,1
list,short,1
swagger,cerebral,1
characters,more,1
remake,entertaining,1
exercise,pure,1
concerns,larger,1
star,real,1
hanks,mr.,1
performance,excellent,1
title,self-effacing,1
discomfort,deep,1
lines,spoken,1
interviewing,presidential,1
event,gladiatorial,1
scripture,secret,1
adaptation,streamlined,1
barry,sebastian,1
man,wanted,1
swan,fine,1
script,good,1
slasher,teen,1
laughs,lowbrow,1
sequel,superman,1
grinds,narrative,1
quality,distinctive,1
memories,painful,1
allegory,lucid,1
bala,miss,1
action,tepid,1
end,delightful,1
sunshine,eternal,1
level,human,1
fan,big,1
plot,banal,1
dialogue,trite,1
characters,indistinguishable,1
vision,futuristic,1
nights,monday,1
park,central,1
comedy,teen,1
story,redundant,1
circles,tight,1
change,unconvincing,1
encapsulation,stunning,1
themes,universal,1
worth,lasting,1
entrée,freeze-dried,1
hollywood,generic,1
tale,tragic,1
artist,tortured,1
flame,bright,1
disney,best,1
film,rewarding,1
one.it,satisfactory,1
film,funnier,1
work,greatest,1
twist,unexpected,1
writer/director,same,1
overall,best,1
road,many,1
concepts,sci-fi,1
whorehouse,little,1
gags,physical,1
m.o,disciplined,1
resolution,narrative,1
premissa,uma,1
filme,o,1
clima,um,1
desfecho,um,1
bet,good,1
marvel,pulse-pumping,1
mysteries,head-spinning,1
import,contemporary,1
reminder,potent,1
threats,unseen,1
drink,stiff,1
film,vital,1
stanfield,lakeith,1
jaunt,jumbled,1
hokum,hyperbolic,1
characterizations,reflective,1
stuff,dark,1
evidence,circumstantial,1
spitzer,eliot,1
thesis,plausible,1
satire,incendiary,1
contents,political,1
bites,alone,1
techniques,suspense,1
touches,surrealistic,1
adaptation,literary,1
story,turbulent,1
mark,whiz-kid,1
dialogue,witty,1
stories,familiar,1
zone,twilight,1
tension,wound-up,1
bilge,nuri,1
effect,mystical,1
feature,sixth,1
comedy,nun,1
misunderstandings,expected,1
oz,frank,1
thriller,second-rate,1
farce,postmodern,1
thing,beautiful,1
movie,cool,1
food,comfort,1
roadblocks,few,1
attempt,milling,1
conflict,final,1
characters,human,1
disturbing,more,1
lane,mandy,1
turkeys,frozen,1
screenwriter,[,1
form,fine,1
life,difficult,1
man,extraordinary,1
seltzer,stale,1
love,familial,1
soldier,citizen,1
character,doyle,1
detective,autistic,1
movie,high-school,1
toilet,off-colour,1
embrace,full,1
sense,vague,1
movie,tedious,1
director,award-winning,1
assembles,lee,1
scenes,effective,1
effort,serious,1
moments,several,1
disappointment,biggest,1
filmmaker,bad,1
action,silly,1
superhero,overstuffed,1
spidey,own,1
round,repetitive,1
heroism,angst-ridden,1
excitement,dystopian,1
style,high,1
action,naturalistic,1
production,retro-futuristic,1
happens,huge,1
stuff,subtle,1
ambiguity,visual,1
comedy,buddy,1
script,unimaginative,1
adventure,thrilling,1
bites,insect,1
attempt,nauseating,1
disappointment,misguided,1
incompetent,utterly,1
look,couple,1
shallows,not-she,1
mindlessness,campy,1
movie,funniest,1
feast,audiovisual,1
genre,adventurous,1
storyline,slender,1
quality,sitcom-like,1
episode,overlong,1
shot,wine-cooler,1
center,romantic,1
production,exquisite,1
cinema,remarkable,1
frustrating,downright,1
stays,much,1
soderbergh,[,1
avoidance,total,1
treatment,sympathetic,1
dialogue,runyon-style,1
yorker,new,1
painting,goya,1
trouble,serious,1
clumsy,undeniably,1
heart,good,1
visuals,poor,1
joke,obvious,1
story,looser,1
side,unnecessary,1
urge,general,1
factor,celeb,1
way,great,1
conspiracy,many,1
import,latest,1
film,korean,1
putt,short,1
production,entire,1
elements,marketable,1
ones,narrative,1
rob,tom,1
air,first,1
parts,best,1
parts,worst,1
concepts,original,1
disney,average,1
example,gold-star,1
comedy-thriller,freewheeling,1
disappointment,major,1
office,box,1
films,imax,1
photography,razzle-dazzle,1
science,serious,1
twists,many,1
arms,dude-bro,1
contracts,military,1
levels,many,1
comedy,drug-filled,1
story,personal,1
melodrama,fantastic,1
production,ambitious,1
effects,scenic,1
portrait,vivid,1
love,unrequited,1
collage,rich,1
history,japanese,1
kendra,likeable,1
belongs,girlz,1
woman,belligerent,1
jokes,fat,1
meltdowns,drama-queen,1
core,crucial,1
flag,black,1
ditter,christian,1
cheesy,much,1
acquaintance,first,1
bond,all-around,1
mix,shambling,1
set,funny,1
cop,half-man-half-robot,1
payoff,little,1
protagonist,sinister,1
movie,well-structured,1
onscreen,alone,1
potter,dotty,1
publisher,young,1
exchange,ho,1
byplay,romantic,1
ingenuity,artistic,1
design,celtic,1
names,traditional,1
drama,doa,1
jealousy,petty,1
love,puppy,1
feeling,romantic,1
story-telling,feel-good,1
tension,compelling,1
approach,sophisticated,1
script,deftly-turned,1
perfs,fine,1
message,feel-good,1
effect,delightful,1
left,much,1
comedy,laugh-out-loud,1
connection,french,1
western,spaghetti,1
wastes,windswept,1
amount,good,1
fun,irreverent,1
art,visual,1
exploration,best,1
waistline,shrunken,1
plays,common,1
attitude,funky,1
farewell,half-hearted,1
premise,promising,1
scenery,gorgeous,1
performance,entertaining,1
john,self-contradictory,1
execution,bold,1
cool,languorous,1
soulfulness,dreamy,1
time,wrong,1
cast,wrong,1
sort,right,1
adulation,critical,1
end,other,1
veber,francis,1
comedies,french,1
counterparts,american,1
kids,local,1
action,noisy,1
explosions,block-clearing,1
showdowns,testosterone-charged,1
episode,great,1
movie,solidly-made,1
innovation,narrative,1
performance,central,1
reputation,own,1
entertainment,ironic,1
watch,swiss,1
picture,disappointing,1
bass,hermann-esque,1
urgency,little,1
film,entertaining,1
elements,overfamiliar,1
department,was-that,1
horror,low-budget,1
horror,big-budget,1
horror,glossy,1
ineptitude,scary,1
interest,actual,1
feel,comfortable,1
masterpiece,undeniable,1
tasks,dangerous,1
yarn,likable,1
issues,weighty,1
effort,slight,1
ladykillers,original,1
coen,past,1
villain,mustache-twirling,1
performance,earnest,1
baron,sacha,1
disposition,reasonable,1
movie,classical,1
work,gloriously-realized,1
horror,gothic,1
scenes,semi-improvised,1
jim,new,1
assassin,ninja,1
gouge,visceral,1
purse,silk,1
stewart,[,1
cast,],1
guy,yellow,1
time,squishy,1
trickery,visual,1
thriller,conventional,1
things,interesting,1
look,jaunty,1
people,sane,1
bigwigs,disturbed-but-important,1
mess,scattershot,1
teens,older,1
movie,magical,1
title,splendid,1
film,one-of-a-kind,1
mood,political,1
melodrama,political,1
assessment,stirring,1
world,volatile,1
source,same,1
production,high,1
sets,elaborate,1
cinematography,gorgeous,1
reasons,compelling,1
masterpiece,low-budgeted,1
recognition,more,1
quest,main,1
exploitation,laughable,1
personalities,real,1
imitation,american,1
glee,much,1
robot,more-is-less,1
astaire,fred,1
singing,first,1
christmas,'white,1
holidays,'happy,1
fun,great,1
merriment,own,1
take,original,1
characters,intriguing,1
fantasy,glorious,1
conclusion,flat,1
material,raw,1
moments,off-the-cuff,1
bathurst,otto,1
direction,wobbly,1
tails,red,1
fervor,patriotic,1
spotlight,broad,1
fighter,black,1
leap,mid-chase,1
times,other,1
hollywood,hyper-edited,1
scenes,dreadful,1
protagonist,self-indulgent,1
wedding,tension-filled,1
movie,likable,1
weight,much,1
dumb,little,1
horror-thriller,effective,1
muchness,much,1
unit,psychiatric,1
life,high-tension,1
bourgeoisie,parisian,1
concept,frothy,1
satisfaction,little,1
violence,supernatural,1
enterprise,chill-ish,1
intentions,serious,1
framework,philosophical,1
portrait,incisive,1
landscape,cultural,1
detours,dead-end,1
ensemble,large,1
running,short,1
screentime,real,1
direction,big-fisted,1
sensitivities,smallest,1
approach,clamorous,1
wright,edgar,1
examinations,furtive,1
problems,philosophical,1
diatribes,ominous,1
episodes,isolated,1
misfortune,tech-adjacent,1
faith,true,1
mea,maxima,1
tension-building,multiple-perspective,1
moment,rare,1
vampires,immortal,1
saga,twilight,1
filmmaking,clumsy,1
consumerism,american,1
visuals,fantasy-noir,1
dreamscapes,surreal,1
story,coherent,1
elephants,various,1
living,crowded,1
sex,interracial,1
fans,longtime,1
product,familiar,1
respects,several,1
comedy,west,1
documentary,better,1
parody,weak,1
evocation,magical,1
time,special,1
echelon,top,1
viewers,younger,1
thriller,old-school,1
epic,nihilistic,1
reveals,best,1
barometer,cultural,1
parable,anti-feminist,1
banter,macho,1
streets,hard,1
equivalent,artistic,1
running,two-hour,1
night,fright,1
choice,core-curriculum,1
manner,worried,1
townspeople,frond-waving,1
hairball,glorified,1
movies,appealing,1
gestures,perfunctory,1
thriller,empty,1
iv,indy,1
return,grand,1
eruptions,several,1
purity,odd,1
setup,sharp,1
capitalism,unfettered,1
castle,fairy-dust-sprinkled,1
film,intelligent,1
experiences,individual,1
bonhote,ian,1
movie,fun,1
characters,interesting,1
moments,predictable,1
movie,oscar-bait,1
stuff,scariest,1
instinct,motherly,1
things,bad,1
sort,nervous,1
ii,hellboy,1
superhero,longest,1
film,longest,1
thriller,intelligent,1
supply,short,1
script,lazy,1
performances,powerful,1
workings,inner,1
