aspect,opinion,count
policies,public,1
story,sweet,1
question,important,1
murders,enough,1
murders,more,1
seasons,several,1
epic,least,1
epic,scorsese,1
deal,real,1
naysayers,such,1
effort,calculated,1
angle,filmmaking,1
market,foreign,1
doldrums,theatrical,1
prose,eager,1
prose,exploratory,1
movie,inert,1
limbs,dismembered,1
tics,flashy,1
messages,mixed,1
movie,cruel,1
movie,spirited,1
theme,christian,1
way,fresh,1
way,rich,1
rebels,heroic,1
storytelling,cinematic,1
need,personal,1
session,bad,1
cd,future,1
cast,terrific,1
cast,ensemble,1
screenplay,uninspired,1
screenplay,unfocused,1
moments,many,1
moments,contrived,1
failure,domestic,1
negligence,corporate,1
possibilities,endless,1
possibilities,-,1
possibilities,ed,1
possibilities,nudist,1
gospel,biblical,1
speech,next,1
speech,big,1
opportunities,many,1
accents,scottish,1
marriage,forced,1
wit,sharp,1
wit,english,1
overkill,broad,1
values,slicker,1
lessons,most,1
drama,miserable,1
predilection,typical,1
experiment,interesting,1
feature,debut,1
baseball,inside,1
part,meta,1
leads,attractive,1
docs,current,1
excruciating,listless,1
moments,great,1
somethings,fanged,1
crowd,pleasing,1
light,much,1
trimmings,fancy,1
focus,more,1
film,satisfying,1
thriller,rare,1
way,same,1
movie,ordinary,1
team,huge,1
thrills,esque,1
mystery,intriguing,1
hours,solid,1
way,horrendous,1
survivors,earlier,1
existence,entire,1
consideration,morose,1
recovery,steady,1
tale,dull,1
adults,most,1
viewers,young,1
documentaries,political,1
process,electoral,1
form,perverse,1
comedy,boring,1
lies,few,1
story,obvious,1
audacity,deaky,1
concern,grandiose,1
elegance,formal,1
mash,historic,1
place,visceral,1
film,sour,1
romance,honest,1
key,unconventional,1
violence,graphic,1
tension,super,1
tension,-,1
confessions,overheated,1
wad,crumpled,1
business,funny,1
seller,best,1
monologue,thorny,1
monologue,inner,1
talk,pompous,1
frontier,digital,1
story,original,1
integrity,much,1
performances,few,1
performances,wonderful,1
film,distracted,1
irresponsibility,utter,1
ideas,bizarre,1
gimmicks,visual,1
melange,frustrating,1
locations,more,1
ending,lame,1
light,fluffy,1
woman,lone,1
men,grim,1
jokes,many,1
son,automatous,1
wife,callous,1
questions,difficult,1
answers,satisfying,1
lack,complete,1
presentation,overall,1
presentation,lifeless,1
foundation,shaky,1
child,inner,1
sequel,inevitable,1
life,ordinary,1
funnyman,groundbreaking,1
ways,many,1
drugs,other,1
trailer,first,1
fans,pre,1
fans,-,1
ancestors,vibrant,1
ancestors,classic,1
steps,basic,1
movie,many,1
side,other,1
stuff,best,1
affair,whole,1
affair,silly,1
adaptation,poor,1
novel,interesting,1
strides,few,1
strides,touching,1
sisterhood,senior,1
girl,old,1
characters,compelling,1
values,big,1
timing,good,1
film,better,1
act,ludicrous,1
taste,bad,1
taste,comedic,1
subjects,such,1
subjects,aware,1
fey,winkingly,1
hair,bad,1
tale,tawdry,1
tale,bizarre,1
style,enough,1
hours,several,1
value,real,1
values,low,1
remakes,sloppy,1
horrors,personal,1
movie,private,1
time,grand,1
time,old,1
morals,ugly,1
morals,twisted,1
misfire,amusing,1
location,pretty,1
clash,heavyweight,1
bonkers,intriguingly,1
exercise,boring,1
farce,free,1
dialogue,weak,1
pacing,poor,1
performance,hearted,1
film,total,1
allegory,political,1
fantasy,frustrating,1
action,chaotic,1
capture,creepy,1
retread,flat,1
warmover,lackluster,1
poetry,indie,1
deadpan,anesthetized,1
level,whole,1
level,new,1
cop,white,1
officer,black,1
hunger,real,1
nourishment,emotional,1
camp,gay,1
context,homoerotic,1
comedy,slight,1
character,horrible,1
concept,exceptional,1
execution,questionable,1
failure,fascinating,1
film,oddball,1
none,less,1
homages,beautiful,1
homages,visual,1
homages,big,1
wiggle,less,1
eyes,old,1
moving,laconic,1
protagonist,fierce,1
steals,brazenly,1
director,female,1
writer,female,1
burn,slow,1
movie,tired,1
failure,huge,1
show,terrific,1
talent,gigantic,1
hodgepodge,strange,1
montage,mid,1
device,classic,1
version,dodgy,1
specificity,historical,1
act,expansive,1
trappings,predictable,1
trappings,archetypal,1
actors,professional,1
effects,colorful,1
fish,bigger,1
line,bruckheimer,1
language,naughty,1
hook,solid,1
comedian,untalented,1
comedian,misogynistic,1
topic,great,1
topic,gritty,1
trip,innocent,1
time,pivotal,1
drama,dismal,1
direction,flat,1
dialogue,dreadful,1
performances,free,1
saw,final,1
comedy,natured,1
comedy,ensemble,1
remake,jumbled,1
reason,good,1
attempt,despicable,1
thriller,silly,1
thriller,convoluted,1
release,theatrical,1
thud,resounding,1
promotes,preachy,1
film,average,1
story,clever,1
way,bland,1
experiment,intriguing,1
experiment,social,1
endurance,bodily,1
adventure,rugged,1
work,tough,1
characters,cartoonish,1
depiction,grungy,1
description,apt,1
slasher,terrible,1
act,least,1
showcase,stronger,1
tone,wobbly,1
line,bottom,1
comedy,surreal,1
humour,cool,1
ambition,weighty,1
lack,wholesale,1
adventure,better,1
bore,old,1
drama,australian,1
silences,long,1
silences,meaningful,1
silences,short,1
prize,grand,1
confection,unhealthy,1
comedy,innocuous,1
squad,successful,1
hokum,pure,1
jerk,common,1
releases,ludicrous,1
gags,best,1
activist,former,1
tendencies,autistic,1
choices,poor,1
exercise,pure,1
exercise,unencumbered,1
concerns,larger,1
discomfort,deep,1
lines,spoken,1
thing,good,1
script,good,1
attempt,shabby,1
romp,teen,1
quality,distinctive,1
fare,tepid,1
level,human,1
fan,big,1
plot,banal,1
characters,indistinguishable,1
vision,bleak,1
vision,futuristic,1
story,stale,1
story,redundant,1
circles,same,1
circles,tight,1
secret,new,1
change,unconvincing,1
tale,tragic,1
flame,bright,1
turns,dull,1
film,funnier,1
twist,fresh,1
twist,unexpected,1
director,same,1
trips,many,1
whorehouse,best,1
whorehouse,little,1
plot,implausible,1
plot,full,1
gags,physical,1
role,embarrassing,1
bet,good,1
jaunt,jumbled,1
hokum,hyperbolic,1
characterizations,reflective,1
philosophy,glib,1
stuff,dark,1
satire,original,1
contents,political,1
stories,familiar,1
thriller,dusty,1
farce,loud,1
farce,postmodern,1
attempt,headed,1
conflict,final,1
ways,more,1
characters,human,1
turkeys,frozen,1
suffering,indulgent,1
seltzer,stale,1
plot,flimsy,1
sense,vague,1
movie,tedious,1
scenes,effective,1
effort,serious,1
disappointment,biggest,1
filmmaker,bad,1
sequences,silly,1
saga,overstuffed,1
senses,own,1
round,repetitive,1
ambiguity,visual,1
script,unimaginative,1
disappointment,misguided,1
silliness,pure,1
silliness,silly,1
conclusion,incompetent,1
quality,like,1
episode,overlong,1
part,most,1
painting,bloody,1
trouble,serious,1
joke,obvious,1
story,looser,1
plots,unnecessary,1
urge,general,1
excitement,cleverness,1
thriller,suspenseful,1
sports,average,1
disappointment,first,1
disappointment,major,1
acts,first,1
dealers,white,1
contracts,military,1
pictures,bad,1
woman,belligerent,1
jokes,fat,1
gimmicky,more,1
silliness,much,1
pieces,funny,1
man,half,1
robot,half,1
payoff,little,1
protagonist,sinister,1
classic,new,1
film,pretty,1
publisher,devoted,1
publisher,young,1
byplay,romantic,1
names,traditional,1
jealousy,petty,1
smile,forced,1
attitude,funky,1
farewell,grim,1
farewell,hearted,1
premise,promising,1
scenery,gorgeous,1
performance,entertaining,1
effort,formulaic,1
contrivances,many,1
awayarrives,flushed,1
time,wrong,1
cast,wrong,1
sort,right,1
adulation,critical,1
end,other,1
comedies,french,1
counterparts,american,1
flick,ripe,1
flick,noisy,1
episode,great,1
picture,disappointing,1
score,nice,1
score,creepy,1
score,complete,1
accents,esque,1
concept,terrifying,1
urgency,little,1
sensation,seedy,1
tropes,standard,1
tropes,glossy,1
ineptitude,scary,1
interest,actual,1
feel,comfortable,1
yarn,exciting,1
yarn,likable,1
effort,slight,1
disposition,reasonable,1
craftsmanship,finished,1
scenes,semi,1
scenes,-,1
mess,scattershot,1
tone,sedate,1
source,same,1
values,high,1
sets,elaborate,1
cinematography,gorgeous,1
reasons,compelling,1
quest,main,1
results,laughable,1
imitation,pale,1
imitation,loud,1
imitation,american,1
glee,much,1
film,fifth,1
take,original,1
pace,stately,1
characters,intriguing,1
series,gorgeous,1
conclusion,flat,1
silliness,shameless,1
direction,wobbly,1
leap,mid,1
leap,-,1
leap,chase,1
times,other,1
fare,hyper,1
fare,-,1
scenes,dreadful,1
bonding,male,1
protagonist,indulgent,1
drama,sour,1
drama,grating,1
bourgeoisie,parisian,1
comedy,screwball,1
concept,frothy,1
satisfaction,little,1
violence,supernatural,1
intentions,serious,1
end,dead,1
detours,many,1
ensemble,large,1
time,short,1
screentime,real,1
direction,fisted,1
sensitivities,smallest,1
approach,clamorous,1
examinations,furtive,1
problems,larger,1
problems,philosophical,1
diatribes,vague,1
episodes,few,1
episodes,isolated,1
misfortune,adjacent,1
moment,rare,1
vampires,teenage,1
filmmaking,clumsy,1
parody,weak,1
movie,bankrupt,1
banter,macho,1
streets,hard,1
equivalent,artistic,1
manner,worried,1
half,first,1
movies,better,1
movies,appealing,1
world,muslim,1
setup,sharp,1
capitalism,unfettered,1
thriller,intelligent,1
supply,short,1
melodrama,stunning,1
contrast,such,1
contrast,extreme,1
mo,slo,1
combat,bloody,1
film,amusing,1
children,most,1
exit,nearest,1
face,unwelcome,1
face,new,1
species,same,1
thirds,first,1
project,smug,1
project,pointless,1
edginess,endless,1
obsession,unhealthy,1
lovers,diehard,1
review,capsule,1
moments,keen,1
teacher,conscientious,1
lab,weird,1
ideas,great,1
cast,misfit,1
lady,bland,1
identity,unique,1
developments,implausible,1
inspection,ripe,1
unrest,brotherly,1
actors,limited,1
melodrama,uninvolving,1
finale,phony,1
wreck,total,1
glorification,reckless,1
piece,unsteady,1
icons,familiar,1
energy,sluggish,1
energy,low,1
film,insensitive,1
audiences,non,1
audiences,-,1
audiences,israeli,1
handedness,heavy,1
movie,disposable,1
life,long,1
face,compelling,1
face,human,1
entities,separate,1
jokes,crude,1
man,good,1
undertaking,spiritual,1
good,precious,1
bad,tremendous,1
drama,brutal,1
minutes,bloated,1
energy,frantic,1
films,worst,1
murder,political,1
scale,nuclear,1
spark,special,1
flop,awkward,1
figures,cardboard,1
sentiment,enough,1
antihumanism,rampant,1
settings,futuristic,1
sense,basic,1
sense,common,1
craftsmanship,solid,1
name,dreary,1
improvement,marked,1
miniseries,tedious,1
shortcomings,same,1
material,original,1
scene,tasty,1
integrity,certain,1
integrity,ugly,1
sequel,gruesome,1
product,pathetic,1
lead,nuanced,1
creation,grotesque,1
siren,minded,1
creation,bloated,1
film,vampire,1
dialogue,clunky,1
stride,confident,1
flavor,esque,1
outing,first,1
money,good,1
comedy,gross,1
representation,poor,1
themes,inherent,1
director,good,1
world,future,1
conversation,fictional,1
embodiment,figurative,1
vision,own,1
vision,superior,1
skeletons,dusty,1
style,frenetic,1
misanthropy,funny,1
misanthropy,sour,1
attempt,vacuous,1
heroine,shallow,1
behaviour,caddish,1
movie,fun,1
shot,odd,1
shot,vivid,1
imagination,dynamic,1
imagination,visual,1
project,indifferent,1
nightmare,absurd,1
nightmare,freudian,1
dream,wet,1
dream,bad,1
limp,sniffling,1
mishmash,bombastic,1
moment,only,1
moment,worth,1
face,brave,1
commentary,pointed,1
legacy,cinematic,1
1980s,dull,1
ways,mysterious,1
piece,predictable,1
fascination,gross,1
narrative,jagged,1
comedy,lavish,1
agony,frank,1
phones,mobile,1
phones,boring,1
letdown,total,1
characters,unlikable,1
stories,true,1
scribes,few,1
twists,more,1
narrative,usual,1
narrative,long,1
costumes,excellent,1
brainwashing,cultural,1
thumb,sore,1
obsession,romantic,1
conclusion,sappy,1
approach,primitive,1
charm,natural,1
parody,mad,1
scenery,striking,1
movie,real,1
guide,disagreeable,1
paranoia,hallucinatory,1
filmmaker,young,1
reasons,wrong,1
thriller,subpar,1
subject,interesting,1
movie,interesting,1
movie,clever,1
melodrama,fashioned,1
mess,murky,1
quality,high,1
freedom,religious,1
docs,many,1
guys,other,1
film,balanced,1
swirl,non,1
swirl,-,1
swirl,stop,1
resonance,sociological,1
charisma,enough,1
result,particular,1
combination,horrible,1
waste,spectacular,1
fascination,perverse,1
message,moral,1
concoction,mushy,1
fare,decent,1
cast,relaxed,1
climate,current,1
superficiality,such,1
superficiality,scant,1
plot,dim,1
people,responsible,1
star,oddest,1
imaginable,bad,1
imaginable,satanic,1
cams,shaky,1
teenager,undereducated,1
scenes,beautiful,1
wit,nostalgic,1
slog,long,1
atmospherics,creepy,1
time,brief,1
action,droopy,1
actors,best,1
actors,comic,1
eggs,enough,1
explanation,more,1
lack,relative,1
relief,surprising,1
century,21st,1
elements,positive,1
elements,technical,1
execution,conscious,1
piece,triumphal,1
snore,contagious,1
element,human,1
star,burly,1
choices,old,1
choices,uninspired,1
choices,averse,1
drudgery,sheer,1
games,titular,1
thriller,dystopian,1
era,new,1
idea,worse,1
thriller,brutal,1
import,australian,1
love,lost,1
time,second,1
formula,simple,1
directions,strange,1
majority,vast,1
movie,terrible,1
rife,awful,1
series,spectacular,1
stunts,spectacular,1
cameos,pointless,1
wheel,square,1
locations,interesting,1
spark,little,1
spark,genuine,1
film,sweet,1
insight,enough,1
exercise,technical,1
movies,visionary,1
vision,bigger,1
glance,sloppy,1
analysis,meaningful,1
member,only,1
films,many,1
films,past,1
effects,good,1
dialogue,full,1
cast,decent,1
genius,post,1
genius,-,1
genius,modern,1
series,original,1
players,strong,1
figure,central,1
asides,humorous,1
mess,dull,1
point,focal,1
banality,soporific,1
group,small,1
age,golden,1
slashers,american,1
predominance,total,1
narcissism,pure,1
mutt,stubborn,1
mutt,mangy,1
mutt,haired,1
guidance,more,1
range,free,1
trite,predictable,1
satire,light,1
analogy,ponderous,1
analogy,anthropological,1
maze,cool,1
scenarios,apocalyptic,1
tone,general,1
dictator,warm,1
examples,duller,1
spot,right,1
moments,clever,1
entertainment,requisite,1
heft,emotional,1
aspirations,higher,1
subject,fascinating,1
feature,commercial,1
figure,charismatic,1
crashes,better,1
blame,historical,1
days,idyllic,1
tunes,few,1
tunes,touching,1
cheesy,boring,1
sheen,blue,1
premise,fascinating,1
cartoon,big,1
cartoon,fashioned,1
material,genetic,1
term,short,1
approach,sputtering,1
film,ridiculous,1
sign,first,1
movie,slow,1
action,unclear,1
convertibles,vintage,1
study,thin,1
plot,much,1
names,biggest,1
anxiety,twitchy,1
anonymity,doughy,1
handbag,counterfeit,1
body,weird,1
idea,modest,1
team,creative,1
misfires,doubtful,1
story,enlightening,1
heroes,unsung,1
drama,standard,1
predictability,tiresome,1
idea,good,1
twist,preposterous,1
conflict,religious,1
line,other,1
line,main,1
feud,deadly,1
thrust,political,1
concoction,messy,1
spectacle,gory,1
logic,little,1
relief,mild,1
comedy,unappealing,1
weirdness,grand,1
desolation,dire,1
kicking,dirty,1
soundtrack,terrific,1
kind,worst,1
fun,simple,1
fun,idiot,1
mountain,big,1
mountain,dumb,1
volume,sheer,1
business,grisly,1
kids,same,1
kitsch,full,1
showing,poor,1
level,certain,1
moments,creepy,1
fire,rapid,1
action,incoherent,1
man,wrong,1
film,overall,1
ambiance,detached,1
jokes,numerous,1
jokes,piss,1
fashion,epistolary,1
characteris,main,1
leader,fearless,1
audiences,younger,1
movie,childish,1
turns,modern,1
turns,dark,1
laughs,great,1
premise,flimsy,1
film,whole,1
film,notorious,1
variation,scant,1
comfort,common,1
ending,redemptive,1
ending,happy,1
story,nice,1
potential,untapped,1
despair,existential,1
modicum,least,1
credulity,emotional,1
exchanges,lovely,1
awe,same,1
author,swedish,1
performances,tremendous,1
outlook,positive,1
meal,great,1
cgi,wizardry,1
wirework,removed,1
reality,physical,1
doll,evil,1
adaptation,gritty,1
age,meaningful,1
sense,perfect,1
ground,familiar,1
experience,human,1
lessons,few,1
love,tough,1
supervillains,best,1
faces,familiar,1
aftertaste,sour,1
actors,accomplished,1
screenwriting,sensitive,1
effects,impressive,1
horror,heartbreaking,1
world,real,1
interviews,individual,1
plot,disjointed,1
characters,cliched,1
metaphors,visual,1
one,dull,1
screenwriters,mercenary,1
clunker,fantastical,1
warming,bland,1
warming,moronic,1
inversion,subtle,1
women,ecstatic,1
competition,youthful,1
awareness,social,1
drama,routine,1
performers,talented,1
brilliance,comedic,1
projects,worthy,1
stray,odd,1
pneumonia,double,1
boys,frat,1
action,frantic,1
ideals,fractured,1
hour,worth,1
sequel,bad,1
stakes,high,1
stage,much,1
stretches,early,1
beauty,statuesque,1
discerning,least,1
ambitions,outsized,1
characterizations,stereotypical,1
elements,predictable,1
moment,frightening,1
study,unsatisfying,1
study,psychological,1
mother,neglectful,1
redemption,spiritual,1
concoctions,whimsical,1
actor,hyperkinetic,1
hybrid,bizarre,1
hybrid,strange,1
demon,half,1
subplots,annoying,1
aspects,few,1
shell,aloof,1
embodiment,full,1
grimace,sad,1
curiosity,watchable,1
discourse,political,1
judgment,ultimate,1
judgment,poor,1
dirges,grungy,1
comedy,silly,1
comedy,crass,1
commando,badass,1
commando,israeli,1
talent,good,1
display,bad,1
version,french,1
thrillers,post,1
thrillers,-,1
thrillers,matrix,1
movie,meaningless,1
parlance,modern,1
riddle,nigh,1
riddle,impossible,1
excitement,visceral,1
commentary,subtle,1
commentary,political,1
voices,loud,1
vulgarities,mild,1
punchlines,actual,1
note,definite,1
asides,quirky,1
mechanism,adolescent,1
path,curious,1
film,hood,1
aspect,compelling,1
subtext,dark,1
elements,handed,1
environment,hostile,1
singer,popular,1
point,definitive,1
treatment,objective,1
tone,sarcastic,1
tone,nasty,1
clashes,smug,1
clashes,hipness,1
attempts,shrill,1
satire,serious,1
photography,uninspired,1
effect,bokeh,1
waste,lamest,1
rights,recent,1
progress,racial,1
lessons,inspiring,1
pace,glacial,1
juxtaposition,piquant,1
location,tropical,1
location,nigerian,1
career,late,1
sinister,stodgy,1
job,workmanlike,1
turn,energetic,1
turn,double,1
revisionism,historical,1
crises,national,1
tale,misguided,1
tale,comatose,1
ideas,bad,1
film,footed,1
affront,worst,1
nature,emphatic,1
drafts,different,1
comedy,recent,1
comedy,aged,1
mileage,maximum,1
mileage,comic,1
men,heterosexual,1
men,other,1
casting,central,1
suspense,consistent,1
material,such,1
epic,pretended,1
title,highfalutin,1
tale,shaggy,1
tale,human,1
text,fitting,1
novel,dystopian,1
act,last,1
message,passionate,1
scenes,several,1
scenes,melodramatic,1
mouths,open,1
choices,standard,1
assault,horrid,1
relationship,central,1
parts,later,1
plot,routine,1
poseurs,pretentious,1
poseurs,urbanite,1
boy,rowdy,1
performances,strong,1
culture,mad,1
weddings,most,1
jokes,same,1
hopes,high,1
decisions,several,1
decisions,directorial,1
dresses,pretty,1
character,useless,1
thing,first,1
mess,convoluted,1
time,reasonable,1
action,frenetic,1
gift,exact,1
movie,original,1
blockbuster,bold,1
blockbuster,innovative,1
risks,massive,1
cliches,common,1
messages,superficial,1
messages,jingoistic,1
sentiment,such,1
sentiment,noble,1
history,bloody,1
ambiguity,moral,1
failure,ultimate,1
politics,unilateral,1
dimensions,conversant,1
star,repulsive,1
tale,dark,1
story,fictional,1
brother,kid,1
intentions,best,1
shiver,single,1
circumstances,mysterious,1
movie,inspirational,1
pirates,crazy,1
pirates,somali,1
hostage,entire,1
dirge,solemn,1
aura,own,1
aura,oppressive,1
investigation,handsome,1
investigation,inconsequential,1
life,political,1
absence,complete,1
movie,anonymous,1
example,sad,1
masters,old,1
inanity,limp,1
inanity,sleazy,1
mastery,digital,1
enterprise,overall,1
film,derivative,1
film,awful,1
satire,unfunny,1
provocation,strained,1
drummer,different,1
assassin,old,1
hottie,young,1
hottie,local,1
teetering,unfocused,1
satire,pointed,1
remake,nostalgic,1
stumble,artistic,1
substance,real,1
anime,japanese,1
movie,frustrating,1
points,multiple,1
points,possible,1
cast,ingratiating,1
themes,serious,1
place,graceless,1
excitement,genuine,1
amounts,minimal,1
topples,outright,1
jerk,alcoholic,1
grabs,incomprehensible,1
efforts,successful,1
thing,whole,1
mess,tedious,1
fable,creepy,1
fable,dystopian,1
biter,tense,1
pacing,sluggish,1
performances,fine,1
production,fine,1
ideas,fascinating,1
couple,ultimate,1
couple,odd,1
task,easy,1
seriousness,own,1
audience,public,1
metaphor,apt,1
film,ambitious,1
performance,strong,1
ideas,unique,1
bag,empty,1
kind,rudimentary,1
bits,scary,1
collection,simple,1
turf,familiar,1
adolescence,awkward,1
misfire,dumb,1
existence,mere,1
translation,forgettable,1
belief,central,1
drama,magical,1
change,unwelcome,1
movie,wrong,1
depths,stereotypical,1
fixation,major,1
toys,inflatable,1
joke,fat,1
jokes,enough,1
moments,dopey,1
moments,inspirational,1
benefits,ancillary,1
force,sheer,1
force,emotional,1
grace,staggering,1
imprint,cartoonish,1
jokes,decent,1
vehicle,first,1
fulfills,last,1
fulfills,key,1
installment,weakest,1
contribution,modern,1
hours,late,1
mash,horrific,1
number,large,1
ends,dead,1
character,single,1
drama,delicate,1
drama,human,1
satire,ordinary,1
bath,warm,1
water,hot,1
film,chaotic,1
disaster,absolute,1
whoop,big,1
flashbacks,many,1
ending,choppy,1
affair,artificial,1
action,exceptional,1
films,successful,1
entertainment,mindless,1
drama,classic,1
moral,profound,1
comedy,free,1
uninteresting,predictable,1
uninteresting,worthless,1
misstep,brief,1
heroes,many,1
characters,few,1
film,pallid,1
movie,silliest,1
graphics,flashy,1
cutting,quick,1
action,compelling,1
writing,poor,1
writing,comedic,1
mess,huge,1
families,dysfunctional,1
girlfriend,ultimate,1
wan,listless,1
consumption,conspicuous,1
movie,contemporary,1
movie,british,1
voyeurism,comic,1
comedy,overrated,1
spirit,sweet,1
audiences,contemporary,1
levels,emotional,1
ingredient,secret,1
interest,more,1
hit,easy,1
story,stuck,1
drama,jagged,1
drama,new,1
ticket,single,1
plot,pedantic,1
farce,multiplex,1
writing,uninspired,1
direction,bland,1
backdrop,british,1
undermines,aesthetic,1
piece,precise,1
nightmarescape,dreamlike,1
surgery,routine,1
ways,profound,1
comedy,stupid,1
comedy,obnoxious,1
points,only,1
time,inevitable,1
effort,woeful,1
effort,banal,1
movie,eared,1
regards,many,1
footnotes,many,1
showcase,witless,1
act,double,1
thing,best,1
scarehouse,fair,1
movies,grim,1
intent,real,1
film,bland,1
ad,blatant,1
book,certain,1
speeches,didactic,1
twist,paranoid,1
engagement,awkward,1
piquancy,biographical,1
actor,non,1
actor,-,1
disposition,primary,1
history,punctilious,1
history,social,1
amplifications,operatic,1
vacuum,post,1
vacuum,-,1
vacuum,twilight,1
tenacity,quiet,1
chases,good,1
battle,chief,1
century,sixth,1
gore,uninspired,1
music,bland,1
vehicle,unfortunate,1
skulls,severed,1
interest,genuine,1
images,such,1
picture,asian,1
shakes,great,1
control,full,1
form,convoluted,1
content,lurid,1
remake,awkward,1
remake,semi,1
remake,-,1
remake,retro,1
sequel,awful,1
excitement,awkward,1
word,curse,1
mystery,central,1
comedy,puerile,1
animation,zippy,1
theme,tired,1
business,big,1
science,modern,1
creature,remarkable,1
attempt,thin,1
stereotypes,detrimental,1
biases,own,1
ingredients,right,1
thriller,timely,1
concept,relevant,1
helmer,wrong,1
perspective,requisite,1
saga,like,1
film,coherent,1
program,much,1
gags,gross,1
sentiment,slapstick,1
season,festive,1
way,haphazard,1
dance,authentic,1
fans,slapstick,1
fans,dramedy,1
adolescence,same,1
character,titular,1
events,major,1
depth,substantial,1
footage,gifted,1
man,actual,1
mess,confusing,1
vision,brilliant,1
themes,religious,1
character,unnecessary,1
sequel,lackadaisical,1
performance,believable,1
drivel,friendly,1
conflicts,rudimentary,1
evidence,embarrassing,1
original,ragged,1
original,french,1
remake,american,1
experiences,agonizing,1
standpoint,viewer,1
narrator,unreliable,1
narrator,sure,1
cartoon,grotesque,1
money,other,1
level,good,1
film,busy,1
idea,faintest,1
accents,ridiculous,1
accents,mid,1
accents,-,1
accents,atlantic,1
gags,dire,1
scenes,plentiful,1
performance,charismatic,1
dancer,former,1
dancer,professional,1
time,more,1
fan,13th,1
entry,particular,1
tale,celebrated,1
flourishes,fantastical,1
order,first,1
lapses,shocking,1
future,better,1
noses,great,1
jabs,cheap,1
trudge,meretricious,1
gifts,comedic,1
tale,classic,1
wrapping,ugly,1
duller,uglier,1
fare,recent,1
nominees,former,1
person,rich,1
time,prime,1
spots,hot,1
eye,sardonic,1
places,best,1
turn,decent,1
turn,central,1
relationship,healthy,1
film,danish,1
weeks,final,1
attention,more,1
appearance,cosmetic,1
film,lost,1
movies,more,1
cartoons,optical,1
decade,half,1
cinema,conscious,1
yarn,durable,1
characters,iconic,1
characters,australian,1
comedy,nostalgic,1
hair,big,1
clothes,bright,1
satire,cynical,1
satire,irregular,1
